,card href,card-heading,card-img-top src,rating-badge,light,num-photos,mb-3,clickable,clickable 2,clickable 3,card-text,mb-3 2,mb-3 3,collection-cta,collection-cta href,btn,btn href,Time,TimeInNumber
0,https://www.holidify.com/places/auli/,"1. Auli, Uttarakhand",https://www.holidify.com/images/bgImages/AULI.jpg,4.2,/5,View 12+ photos,Known For :,Skiing in Auli,Trishul Peak,Auli Ropeway,"Winter and snow always go hand in hand, and what's a better place or time to find both in Auli in the month of December. Renowned for being the skiing destination of India, it's flocked by tourists from within the country and from abroad as well. December is the best time to be here to witness the incredible amount of snowfall which takes place. Play around with snowball fights, indulge in some skiing and other adventure sports, or relax and take in the scenic views of the Himalayas from your resort. Whatever you do, you're in for an unforgettable winter vacation!",Throughout the year,Best Time:,12 Auli Attractions,https://www.holidify.com/places/auli/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/auli/hotels-where-to-stay.html,December,12
1,https://www.holidify.com/places/kutch/,"2. Kutch, Gujarat",https://www.holidify.com/images/bgImages/KUTCH.jpg,4.4,/5,View 30+ photos,Known For :,Rann of Kutch,Kutch Desert Wildlife Sanctuary,Dholavira,"An expanse of white sands for most parts of the year, Kutch transforms into a centre of the celebration, festivity, countless tints, arts and culture in December as it hosts its grand Rann Mahotsav. While the summers at Rann are extremely hot and unbearable, winters are quite cool with temperatures sometimes falling as low as 0 degrees! Visit this moon-like desert of India in December for an extraordinary experience that will continue to charm you for much longer. The Rann Utsav will only add to the mesmerizing feel and experience while there making it one of the best places to visit in India in December.",July to March,Best Time:,17 Kutch Attractions,https://www.holidify.com/places/kutch/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/kutch/hotels-where-to-stay.html,December,12
2,https://www.holidify.com/places/goa/,3. Goa - The Partayyyy Capital,https://www.holidify.com/images/cmsuploads/compressed/psy_20181106191146.jpg,4.5,/5,View 114+ photos,Known For :,Calangute Beach,Fort Aguada,Cruise in Goa,"Situated on the Western Coast, Goa is the place associated most with touristy beaches, happening nightlife and historic Portuguese architecture. This list of places to visit in India in December would be incomplete without adding Goa to it. Goa is easily one of the best places in India to wrap up the year. Explore its hippie culture, warm winter beaches, the most delicious seafood and of course, it's alcohol. Goa has an excellent selection of the New Year and Christmas parties in December making is the perfect destination to bring on the New Year with a bang!",October to March,Best Time:,197 Goa Attractions,https://www.holidify.com/places/goa/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/goa/packages.html,December,12
3,https://www.holidify.com/places/jaisalmer/,"4. Jaisalmer, Rajasthan",https://www.holidify.com/images/cmsuploads/compressed/Day08_Jaisalmer_GrandIndiaTour_01_compressed_20180226142515.jpg,4.4,/5,View 38+ photos,Known For :,Jaisalmer Fort,Desert Safari in Jaisalmer,Kuldhara Village,"Situated close to the Pakistan border, the Golden City is a major tourist spot owing to its proximity to the Thar Desert. Winters is an ideal time to explore the local activities such as camel desert safari, watching the spectacular colours of the desert sunset or enjoy a night of luxurious desert camping.",October to March,Best Time:,39 Jaisalmer Attractions,https://www.holidify.com/places/jaisalmer/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/jaisalmer/packages.html,December,12
4,https://www.holidify.com/places/alleppey/,"5. Alleppey, Kerala - Backwaters, Beaches and Lagoons - Venice of the East",https://www.holidify.com/res/images/patt.png,4.5,/5,View 62+ photos,Known For :,Stay in Houseboat,Marari Beach,Alappuzha Beach,"Officially called Alappuzha, Alleppey is a city in the South Indian state of Kerala. Bordering the Laccadive Sea, it is known for its wide network of interlinking, palm-fringed canals called backwaters and rejuvenating Ayurvedic resorts.",June to March,Best Time:,34 Alleppey Attractions,https://www.holidify.com/places/alleppey/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/alleppey/packages.html,December,12
5,https://www.holidify.com/places/ranthambore/,"6. Ranthambore, Rajasthan",https://www.holidify.com/res/images/patt.png,4.2,/5,View 22+ photos,Known For :,Jeep Safari Ranthambore,Ranthambore Tiger Reserve,Ranthambhore Fort,"One of the best tiger reserves of India, Ranthambore finds itself all the more welcoming in December with the pleasant drop in the temperature. The region is known for being the richest centres of flora and fauna, a dreamy terrain amidst the Vindhya and Aravalli, this one also houses the Ranthambore Fort in the reserve. Apart from being the home of the endangered tiger, several other animal species are found here such as the wild cats, leopards, sloth bears, hyenas, Indian foxes, crocodiles and jackals. Compared to other tiger reserves, chances of tiger spotting in the month of December are relatively higher at Ranthambore.",October to Apr,Best Time:,21 Ranthambore Attractions,https://www.holidify.com/places/ranthambore/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/ranthambore/packages.html,December,12
6,https://www.holidify.com/places/manali/,"7. Manali, Himachal Pradesh",https://www.holidify.com/res/images/patt.png,4.5,/5,View 11+ photos,Known For :,Solang Valley,Rohtang Pass,Old Manali,"Nestled in the Kullu Valley, the Himalayan town of Manali is a hill station with attractions such as the spectacular Rohtang pass. Visit Manali in December and watch the landscape turn into a slice of snowy heaven. Bring in Christmas and New Years with exciting winter sports such as skiing and snowboarding at Gulaba, Rohtang Pass and Solang Valley. Cosying up to the chilly nights of Manali with bonfires & with views of the gigantic ice-capped Himalayan mountains makes this place one of the best places to visit in India in December.",October to June,Best Time:,49 Manali Attractions,https://www.holidify.com/places/manali/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/manali/packages.html,December,12
7,https://www.holidify.com/places/udaipur/,"8. Udaipur, Rajasthan",https://www.holidify.com/res/images/patt.png,4.3,/5,View 58+ photos,Known For :,Lake Pichola,"City Palace, Udaipur",Fateh Sagar Lake,"Located in a valley and surrounded by 4 lakes, it is at times referred to as the 'Venice of the East'. Udaipur has an abundance of natural beauty, mesmerising temples and breathtaking architecture which makes it a must-visit destination in India. A boat ride through the serene waters of Lake Pichola will be enough to prove to you why Udaipur is the pride of Rajasthan. Explore the stunning Ranakpur Jain Temple, the historic Udaipur City Palace and catch the winter season of cultural events at the Bagore Ki Haveli in December in Udaipur.",October to March,Best Time:,34 Udaipur Attractions,https://www.holidify.com/places/udaipur/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/udaipur/packages.html,December,12
8,https://www.holidify.com/places/jodhpur/,"9. Jodhpur, Rajasthan",https://www.holidify.com/res/images/patt.png,4.1,/5,View 57+ photos,Known For :,Mehrangarh Fort,Jaswant Thada,Mandore Garden,"Famously known as the Blue City, Jodhpur is one of the most popular tourist places to visit in India in December. Located in Rajasthan and having a rich and vivid culture and history, one can find numerous forts, palaces and temples here. They're very appealing aesthetically and are popular among the locals and tourists. In December, the weather becomes considerably cooler and much more pleasant than the usual aridity, thus making it a perfect winter destination.",November to February,Best Time:,44 Jodhpur Attractions,https://www.holidify.com/places/jodhpur/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/jodhpur/packages.html,December,12
9,https://www.holidify.com/places/gokarna/,"10. Gokarna, Karnataka",https://www.holidify.com/res/images/patt.png,4.3,/5,View 21+ photos,Known For :,Om Beach,Mahabaleshwara Temple,"Paradise Beach, Gokarna","With its pristine beaches and breathtaking landscapes, Gokarna is a famous Hindu pilgrimage town. However, in the month of December, Gokarna transforms into a hippie, party town with crowds gathering on the serene tropical beaches for Christmas and New Years celebrations. Palm clad beaches are dotted with foreign tourists in December in Gokarna with very few Indians. A one-of-a-kind hidden gem on the Arabian Sea, Gokarna is a great destination to escape the crowds for a slow, relaxed holiday.",Throughout the year,Best Time:,20 Gokarna Attractions,https://www.holidify.com/places/gokarna/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/gokarna/hotels-where-to-stay.html,December,12
