,Unnamed: 0,card href,card-heading,card-img-top src,rating-badge,light,num-photos,mb-3,clickable,clickable 2,clickable 3,card-text,mb-3 2,mb-3 3,collection-cta,collection-cta href,btn,btn href,card-text 2,Time,TimeInNumber
0,0,https://www.holidify.com/places/kodaikanal/,"1. Kodaikanal, Tamil Nadu - The Princess of Hill Stations",https://www.holidify.com/images/bgImages/KODAIKANAL.jpg,4.4,/5,View 25+ photos,Known For :,Green Valley View (Suicide Point),Kodaikanal Lake,Bear Shola Falls,"Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. When you think of Kodaikanal, you think of a beautiful climate, cliffs covered in mist, cloud-capped mountains and beautiful lakes and valleys, and once you visit this hill station, you will find that every bit of what you have imagined it to be is right. Nestled amidst the rolling slopes of the Palani Hills in Tamil Nadu, Kodaikanal stands at an altitude of 7200 feet above sea level and has a cool, pleasant climate all year round; Kodaikanal means the gift of the forests.",September to May,Best Time:,35 Kodaikanal Attractions,https://www.holidify.com/places/kodaikanal/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/kodaikanal/hotels-where-to-stay.html,,February,2
1,1,https://www.holidify.com/places/andaman-nicobar-islands/,2. Andaman & Nicobar - Ideal Time for Snorkelling and Scuba Diving,https://www.holidify.com/images/bgImages/ANDAMAN-NICOBAR-ISLANDS.jpg,4.5,/5,View 19+ photos,Known For :,Radhanagar Beach,Cellular Jail,Ross Island,"Located far away from mainland India, the Andaman and Nicobar Islands are a tropical paradise escapade. With its azure waters and white sandy beaches lined with palm trees, this is the place to be if you want to relax amidst the scenic natural surroundings. February is considered to be one of the best times to plan a vacation to this place, as the weather is at it's best and it facilitates most of the water sports activities, mainly snorkelling and scuba diving.",October to Jun,Best Time:,82 Andaman Attractions,https://www.holidify.com/places/andaman-nicobar-islands/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/andaman-nicobar-islands/packages.html,,February,2
2,2,https://www.holidify.com/state/sikkim,3. Sikkim - Losar Festival,https://www.holidify.com/blog/wp-content/uploads/2014/02/Losar.jpg,,,,,,,,"Sikkim, the smallest state of India, is the land of a large variety of plants, animals, rivers, mountains, lakes and waterfalls. The mountain peaks, holy lakes, ancient monasteries, orchid nurseries and stunning trekking routes make Sikkim a perfect Holiday destination for you. Losar Festival is one of the charms that make Sikkim a must-visit in February. It is the celebration of Tibetan New Year commences on the first day of the first month of each lunar year usually celebrated in February. Tibetan customs and rituals for commemorating the new year are deeply rooted in Buddhist ideas and beliefs.Monday, 24 February to Wednesday, 26 February",,,,,,,Dates:,February,2
3,3,https://www.holidify.com/places/coorg/,"4. Coorg, Karnataka - The Scotland of India",https://www.holidify.com/images/bgImages/COORG.jpg,4.2,/5,View 31+ photos,Known For :,Abbey Falls,Talakaveri,Raja's Seat,"One of the most popular weekend destinations from Bangalore, Coorg is located in the Kodagu district Karnataka. Evergreen as ever, this place is truly a delightful one, owing to its lush green landscape and pleasant weather throughout the year. Also, there are numerous coffee plantations and cardamom plantations, which add on to the greenery of this enchanting hill station. The temperature in February usually falls between 11 to 20 degrees, making it cool and chilly, and one of the best places to visit in India in February.",October to March,Best Time:,35 Coorg Attractions,https://www.holidify.com/places/coorg/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/coorg/hotels-where-to-stay.html,,February,2
4,4,https://www.holidify.com/places/gulmarg/,"5. Gulmarg, Jammu & Kashmir - Skiing Paradise of India",https://www.holidify.com/res/images/patt.png,4.5,/5,View 20+ photos,Known For :,Gulmarg Gondola,Alpather Lake,Gulmarg Golf Course,"Surrounded by snow-covered mountains, lush green meadows, deep ravines, evergreen forested hills and valleys, Gulmarg is one of the most famous honeymoon destinations in India. Thrill seekers can be found skiing here in winters while snow lovers can get their heart fill nearly round the year. Unlike its counterparts, Manali and Shimla, this place is yet untouched by large crowds and is ideal for people looking to enjoy a quiet vacation amidst nature. Khilanmarg and Tangmarg are nearby destinations that one must remember to visit during their stay here. February is one of the last months of winters when you can enjoy skiing in a fully snow-covered Gulmarg.",October to June,Best Time:,20 Gulmarg Attractions,https://www.holidify.com/places/gulmarg/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/gulmarg/packages.html,,February,2
5,5,https://www.holidify.com/places/kutch/,"6. Kutch, Gujarat - Rann Utsav in The White Desert of India",https://www.holidify.com/res/images/patt.png,4.4,/5,View 30+ photos,Known For :,Rann of Kutch,Kutch Desert Wildlife Sanctuary,Dholavira,"Kutch is probably one of the most beautiful, yet surreal places in India. With the vast expanses of white salt desert in the Rann of Kutch area, this is an amazing experience to witness. One would be able to see just stretches of pure white land as far as the eyesight goes. The place comes to life during the winters when the Rann Festival is held during December-February everywhere in which there are huge camp settlements with cultural programs, functions and adventure activities like hot-air ballooning. Ends on 12th February 2020",July to March,Best Time:,17 Kutch Attractions,https://www.holidify.com/places/kutch/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/kutch/hotels-where-to-stay.html,Dates:,February,2
6,6,https://www.holidify.com/places/goa/goa-carnival-sightseeing-1253451.html,7. Goa - For Goa Carnival,https://www.holidify.com/res/images/patt.png,4.5,/5,View 114+ photos,Known For :,Calangute Beach,Fort Aguada,Cruise in Goa,"February is probably the best time to visit Goa not just because the weather is great, but also because it does not have the maddening crowd of December making the prices more affordable and places more clean. Goa in February sees a lot of crowd from outside India and rightly so. Go here before the temperature starts rising again in March. February is also the time to enjoy Goa Carnival. February 22, 2020, to February 25, 2020",October to March,Best Time:,197 Goa Attractions,https://www.holidify.com/places/goa/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/goa/packages.html,Dates:,February,2
7,7,https://www.holidify.com/places/jaisalmer/,"8. Jaisalmer, Rajasthan - Desert Festival",https://www.holidify.com/res/images/patt.png,4.4,/5,View 38+ photos,Known For :,Jaisalmer Fort,Desert Safari in Jaisalmer,Kuldhara Village,"With the summer yet to come to the country, Jaisalmer is one of the places to visit in India in February. Jaisalmer is the closest city, is a major tourist spot popular among couples, adventure seekers, and desert safari enthusiasts. This city, located close to Pakistan border is famous for Rajputana havelis and Jaisalmer fort also known as Sonal Quila. Sandstone architecture gives the city its golden hue and therefore the name, Golden City. And that's not even it - this February, Jaisalmer will be hosting the Jaisalmer Desert Festival from 17th to 19th February, celebrating every possible tint of the cultural festivity that surrounds Rajasthan. January 17, 2020 to February 19, 2020",October to March,Best Time:,39 Jaisalmer Attractions,https://www.holidify.com/places/jaisalmer/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/jaisalmer/packages.html,Dates:,February,2
8,8,https://www.holidify.com/places/bir/,"9. Bir Billing, Himachal Pradesh - Paragliding in the Land of Tibetan Monasteries",https://www.holidify.com/res/images/patt.png,4.6,/5,View 11+ photos,Known For :,Paragliding in Bir Billing,Chokling Monastery,Gunehar Waterfall,"If you plan on doing paragliding in India, Bir is your place. Host to the annual World Paragliding Championship, Bir offers picturesque Himachal terrain as the backdrop for the gliders. Apart from this, trekking is also very famous across its hills. Amidst the adventure, one can also find peace in the Buddhist monasteries famous here for spiritual studies and meditation. Nature enthusiasts can visit Deer Park and Bir Tea Factory for some mental relaxation. February might not be a good time for paragliding, but the weather makes it perfect and the cold winds keep the crowd away for an offbeat experience.",Throughout the year,Best Time:,29 Bir Attractions,https://www.holidify.com/places/bir/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/bir/packages.html,,February,2
9,9,https://www.holidify.com/places/khajuraho/,"10. Khajuraho, Madhya Pradesh - For Khajuraho Dance Festival",https://www.holidify.com/res/images/patt.png,4.5,/5,View 16+ photos,Known For :,"Light and Sound Show, Khajuraho",Dulhadev Temple,Kandariya Mahadev Temple,"Khajuraho is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region in Madhya Pradesh, Khajuraho is a brilliant example of Indian architecture and its culture back in the medieval period. The architecture of these Hindu and Jain temples depict the innocent form of love, the carvings on the walls display passion in the most erotic yet aesthetic ways. Khajuraho is also hosting the famous Khajuraho Dance Festival which witnesses classical dance forms in a very picturesque setting using various temples as the backdrop of the event.20 February 2020 to 26 February 2020",July to March,Best Time:,25 Khajuraho Attractions,https://www.holidify.com/places/khajuraho/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/khajuraho/hotels-where-to-stay.html,Dates:,February,2
10,10,https://www.holidify.com/places/agra/,"11. Agra, Uttar Pradesh - The City of Taj Mahal for Taj Mahotsav",https://www.holidify.com/res/images/patt.png,4.2,/5,View 145+ photos,Known For :,Taj Mahal,Fatehpur Sikri,Agra Fort,"Though this one remains a staple for most tourist circuits that cover the best of India, there is another reason it's on the list this February. Taj Mahotsav is a 10-day celebration of art, crafts, cuisines, dance and music by the eastern gate of the wonder itself, Taj Mahal making it one of the best places to visit in India in February 2020.Dates: 18 February 2020 to 27 February 2020",October to March,Best Time:,17 Agra Attractions,https://www.holidify.com/places/agra/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/agra/hotels-where-to-stay.html,,February,2
