,card href,card-heading,slick-prev,card-img-top src,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,slick-dots 5,rating-badge,light,num-photos,mb-3,clickable,clickable 2,clickable 3,card-text,mb-3 2,mb-3 3,collection-cta,collection-cta href,btn,btn href,Time,TimeInNumber
0,https://www.holidify.com/places/jaipur/,"1. Jaipur, Rajasthan - The Pink City",Previous,https://www.holidify.com/images/bgImages/JAIPUR.jpg,Next,1,2,3,4,5,6,4.4,/5,View 72+ photos,Known For :,Amer Fort,"City Palace, Jaipur",Nahargarh Fort,"The 'Pink City' of India, Jaipur is a palatial wonderland with its unparalleled beauty, spectacular architecture and vibrant, regal history. Jaipur is one of the best places to visit in January in India if you love literature and books. The Jaipur Literature Festival will be your Mecca! A grand festival solely dedicated to literature had been long due and JLF made it possible for all of us. So, what is the Jaipur Literature Festival? It is the annual literary festival which takes place in the royal city of Jaipur in the month of January. The Diggi Palace Hotel serves as the main venue for the event with 6 sub-venues inside.",October to March,Best Time:,62 Jaipur Attractions,https://www.holidify.com/places/jaipur/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/jaipur/packages.html,January,1
1,https://www.holidify.com/places/hampi/,"2. Hampi, Karnataka - The abode of bygone ruins, rusty colors and fascinating landscape",Previous,https://www.holidify.com/images/bgImages/HAMPI.jpg,Next,1,2,3,4,5,6,4.5,/5,View 103+ photos,Known For :,"Virupaksha Temple, Hampi",Vithala Temple,Lotus Palace,"Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building and captivating remains of Vijayanagar Empire, Hampi is a backpacker's delight. Hampi is an open museum with 100+ locations to explore and a favourite way to see the city from the perspective of its history.",October to March,Best Time:,31 Hampi Attractions,https://www.holidify.com/places/hampi/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/hampi/hotels-where-to-stay.html,January,1
2,https://www.holidify.com/places/jaisalmer/,"3. Jaisalmer, Rajasthan - The Golden City",Previous,https://www.holidify.com/images/cmsuploads/compressed/Day08_Jaisalmer_GrandIndiaTour_01_compressed_20180226142515.jpg,Next,1,2,3,4,5,6,4.4,/5,View 38+ photos,Known For :,Jaisalmer Fort,Desert Safari in Jaisalmer,Kuldhara Village,,October to March,Best Time:,39 Jaisalmer Attractions,https://www.holidify.com/places/jaisalmer/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/jaisalmer/packages.html,January,1
3,https://www.holidify.com/places/munnar/,"4. Munnar, Kerala - Tea Gardens, Lakes and Pretty little hill-station",Previous,https://www.holidify.com/images/bgImages/MUNNAR.jpg,Next,1,2,3,4,5,6,4.5,/5,View 38+ photos,Known For :,Top Station,"Echo Point, Munnar",Atukkad Waterfalls,"The idyllic hill station Munnar - famous for its tea estates, exotic lush greenery and craggy peaks, is located in the Western Ghats, in the state of Kerala. Munnar specialises in its tantalising charm, and that is the reason people tend to escape the cold winter months and flock to this hill station. Trekking, rock climbing and rappelling are some of the activities that you must indulge yourself in to deal with the biting cold. Although do make sure to have all the necessary accessories to check out the full-fledged nature’s bounty.",September to May,Best Time:,47 Munnar Attractions,https://www.holidify.com/places/munnar/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/munnar/packages.html,January,1
4,https://www.holidify.com/places/varkala/,"5. Varkala, Kerala - The hidden treasure of Kerala",Previous,https://www.holidify.com/images/bgImages/VARKALA.jpg,Next,1,2,3,4,5,6,4.5,/5,View 23+ photos,Known For :,Water Sports in Varkala,Varkala Beach,Edava Beach,"Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. It is popular for its hippie culture, shacks on the cliff serving great seafood and playing global music and the samadhi of Kerala's saint Sree Narayana Guru. Varkala is also known for Jardana Swami Temple, also known as Dakshin Kashi.",Throughout the year,Best Time:,24 Varkala Attractions,https://www.holidify.com/places/varkala/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/varkala/packages.html,January,1
5,https://www.holidify.com/places/vagamon/,"6. Vagamon, Kerala",Previous,https://www.holidify.com/images/bgImages/VAGAMON.jpg,Next,1,2,3,4,5,6,4.2,/5,View 21+ photos,Known For :,Ulipooni Wildlife Sanctuary,Vagamon Meadows,Pine Hill,"1100 meters above sea, far way from the loud city culture, lush greenery and serenity to gift every visitor, Vagamon could be your quiet offbeat hill station in Kerala away from maddening tourist crowds.",Throughout the year,Best Time:,16 Vagamon Attractions,https://www.holidify.com/places/vagamon/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/vagamon/packages.html,January,1
6,https://www.holidify.com/places/pondicherry/,7. Pondicherry - The French Riviera of the East,Previous,https://www.holidify.com/images/bgImages/PONDICHERRY.jpg,Next,1,2,3,4,5,6,4.1,/5,View 29+ photos,Known For :,"Paradise Beach, Pondicherry",Aurobindo Ashram,Auroville,"Pondicherry, also known as Puducherry and commonly referred to as just Pondy, is one of the seven Union Territories of India. is often famously referred to as the French Riviera of the East, and it is indeed one of the most charming and mesmerising places to visit in South India. Located in the state of Tamil Nadu, Pondicherry is a great beach place to visit in January in India to enjoy the perfect weather for not only sightseeing but also partaking in adventurous activities or a day at the beach.",October to March,Best Time:,48 Pondicherry Attractions,https://www.holidify.com/places/pondicherry/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/pondicherry/packages.html,January,1
7,https://www.holidify.com/places/khajuraho/,"8. Khajuraho, Madhya Pradesh - The Architectural Masterpiece",Previous,https://www.holidify.com/images/bgImages/KHAJURAHO.jpg,Next,1,2,3,4,5,6,4.5,/5,View 16+ photos,Known For :,"Light and Sound Show, Khajuraho",Dulhadev Temple,Kandariya Mahadev Temple,"One of Indian civilisation's most noteworthy contribution at the international scale is the sensibility and heightened sensitivity towards the human body. Khajuraho is a UNESCO World Heritage Site, known for its evolved representation of acceptance of diversity among Hinduism and Jainism as religions, through the unified temple complexes and for its intricate erotic carvings on all the temple walls. Although diminished in number from 85 to 20 since their inception in the 12th century AD, the temples still stand strong and are visited by art, history and cultural enthusiasts from around the world. The temperatures around this time lie comfortably between 9-25 degrees Celsius, a perfect place to visit in January in India.",July to March,Best Time:,25 Khajuraho Attractions,https://www.holidify.com/places/khajuraho/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/khajuraho/hotels-where-to-stay.html,January,1
8,https://www.holidify.com/places/kochi/,"9. Kochi, Kerala - Queen of Arabian Sea",Previous,https://www.holidify.com/images/bgImages/KOCHI.jpg,Next,1,2,3,4,5,6,4.2,/5,View 46+ photos,Known For :,Mattancherry Palace,Fort Kochi,Jewish Synagogue,"Situated on the south-west coast of India, Kochi or Cochin is a bustling commercial port city with a trading history that dates back to at least 600 years. Called as the Queen of the Arabian Sea, the city is the financial, commercial and industrial capital of Kerala.",July to April,Best Time:,47 Kochi Attractions,https://www.holidify.com/places/kochi/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/kochi/packages.html,January,1
9,https://www.holidify.com/places/gokarna/,"10. Gokarna, Karnataka - Land of palm trees, blue seas and golden sands",Previous,https://www.holidify.com/res/images/patt.png,Next,1,2,3,4,5,6,4.3,/5,View 21+ photos,Known For :,Om Beach,Mahabaleshwara Temple,"Paradise Beach, Gokarna","With its pristine beaches and breathtaking landscapes, Gokarna is a Hindu pilgrimage town in Karnataka and a newly found hub for beach lovers and hippies.",Throughout the year,Best Time:,20 Gokarna Attractions,https://www.holidify.com/places/gokarna/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/gokarna/hotels-where-to-stay.html,January,1
