,card href,card-heading,card-img-top src,rating-badge,light,num-photos,mb-3,clickable,clickable 2,clickable 3,card-text,mb-3 2,mb-3 3,collection-cta,collection-cta href,btn,btn href,card-text 2,Time,TimeInNumber
0,https://www.holidify.com/places/wayanad/,"1. Wayanad, Kerala - Nature's Abode",https://www.holidify.com/images/cmsuploads/compressed/Wayanad_20180224231409.jpg,4.3,/5,View 71+ photos,Known For :,Banasura Sagar Dam,Wayanad Wildlife Sanctuary,Chembra Peak,"Replete with enchanting waterfalls, historical caves, comfortable resorts and homestays, this popular town is famous for its spice plantations and wildlife. Among the prettiest areas of Kerala, Wayanad has a multitude of options for its visitors. Walking through the sprawling spice plantations, taking that trek into the pre-historic caves and experiencing a resort holiday is one of the many things you can do to get a taste of Wayanad. A great place to visit in March in India to spot wild elephants & beautiful scenery, Wayanad is guaranteed to please your travel senses. Overall, a perfect weekend idea from cities of South India. Although the temperature in Wayanad remains nearly constant throughout the year but the best time to visit Wayanad is October- May. The weather is extremely good during this period of time.",Throughout the year,Best Time:,34 Wayanad Attractions,https://www.holidify.com/places/wayanad/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/wayanad/hotels-where-to-stay.html,,March,3
1,https://www.holidify.com/places/ooty/,"2. Ooty, Tamil Nadu - Queen of the Nilgiris",https://www.holidify.com/images/bgImages/OOTY.jpg,4.2,/5,View 30+ photos,Known For :,Nilgiri Mountain Railway,Ooty Lake,"Emerald Lake, Ooty","If a lost world colonial charm is your idea of a dream vacation, look no farther than Ooty. Complete with a toy train ride to the quaint little hill station. All English everything, from the colonial style bijou, fenced flower gardens, evergreen hills and the thatched roof churches of course. The sleepy hamlet has a memorable stupor, and a sense of timelessness, with lush botanical gardens, lakes, tea plantations and waterfalls. When here, don't forget to check out popular spots like Tiger Hill, Ooty Lake and the Dodabetta Peak.",Throughout the year,Best Time:,43 Ooty Attractions,https://www.holidify.com/places/ooty/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/ooty/hotels-where-to-stay.html,,March,3
2,https://www.holidify.com/places/rameswaram/,"3. Rameshwaram, Tamil Nadu - The Bridge on the Indian Ocean",https://www.holidify.com/res/images/patt.png,4.1,/5,View 20+ photos,Known For :,Rameshwaram Temple,Dhanushkodi Temple and Beach,Jatayu Tirtham,"Rameshwaram is one of the holiest places in India and a great place to visit in March in India. March is also called the pilgrim season in Rameshwaram, meaning the town may be exceptionally crowded with chances of various processions and chants throughout the area. It is separated by a small Pamban channel from Sri Lanka. According to the Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka.",Throughout the year,Best Time:,22 Rameswaram Attractions,https://www.holidify.com/places/rameswaram/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/rameswaram/packages.html,,March,3
3,https://www.holidify.com/places/gangtok/,"4. Gangtok, Sikkim - The Gateway to Sikkim",https://www.holidify.com/res/images/patt.png,4.4,/5,View 28+ photos,Known For :,Nathula Pass,"MG Road, Gangtok",Rumtek Monastery,"Gangtok is one of the best places to visit in March for its relaxing escapade from the rigour of our daily lives. Away from the scorching heat, Gangtok is home to cold and comfortable summers between March and June with temperatures that hardly rise above 23 degree Celsius. This is also an excellent time to explore the northern as well as the western parts of this hill station since these are allowed to be visited only for a limited period during summer. Since it is the peak season, be prepared for large crowds of people.",Throughout the year,Best Time:,33 Gangtok Attractions,https://www.holidify.com/places/gangtok/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/gangtok/packages.html,,March,3
4,https://www.holidify.com/pages/lathmar-holi-2419.html,"5. Lathmar Holi, Mathura - A unique place to visit in March in India for Holi",https://www.holidify.com/res/images/patt.png,,,,,,,,"Holi, a festival of colours that marks the victory of good over evil is one of the main festivals of Hindus. It is celebrated with great vigour and enthusiasm throughout India. Lathmar Holi is celebrated 4-5 days prior to the festivities of other states. However, it is interesting to note how this festival is celebrated in a rather peculiar way in Nandgaon and Barsana towns in Mathura-district of Uttar Pradesh. The towns are located some 42 kms from Mathura and are extremely popular for the celebrations during Holi. The natives are known for their interesting way of playing Holi with not only colours but also sticks. Thandai (a sweet drink) and Holi go hand in hand, so don't miss out on it! 23rd March in Barsana and on 24th March in Nandgaon in 2021.",,,,,,,Dates for Lathmar Holi:,March,3
5,https://www.holidify.com/places/andaman-nicobar-islands/havelock-island-sightseeing-1188.html,"6. Havelock Island, Andaman Nicobar-islands",https://www.holidify.com/res/images/patt.png,,,,,,,,"One of the most beautiful and serene islands in the Andaman cluster, Havelock is a paradise for those looking for a serene escape. A popular honeymooners destination as well, one of the most talked-about part of Havelock, is beach number 7, also known as the Radha Nagar Beach. Awarded in 2004 as the 'Best Beach in Asia', by Time, the swimming elephants are the most popular attraction here. With temperature not hovering over 20 degrees and cool ocean breezes flowing throughout the day, the beautifully made villas and picturesque houses make Havelock one of the best places to visit in March in India.",,,,,,,,March,3
6,https://www.holidify.com/places/rishikesh/,"7. Rishikesh, Uttarakhand - Yoga Capital of the World",https://www.holidify.com/res/images/patt.png,4.3,/5,View 37+ photos,Known For :,Rafting in Rishikesh,Lakshman Jhula,Triveni Ghat,,Throughout the year,Best Time:,53 Rishikesh Attractions,https://www.holidify.com/places/rishikesh/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/rishikesh/packages.html,,March,3
7,https://www.holidify.com/places/varanasi/,"8. Varanasi, Uttar Pradesh - The Spiritual Capital of India",https://www.holidify.com/res/images/patt.png,4.4,/5,View 23+ photos,Known For :,Kashi Vishwanath Temple,"Ganga Aarti, Varanasi",Dashashwamedh Ghat,"Varanasi, the world's oldest continually habited city, can turn out to be one of your favourite stops. Also known as 'Kashi' or 'Benaras', it is regarded as one of Hinduism's seven holy cities. People come here from all around the globe to the ghats lining the River Ganga to wash away a lifetime of sins or cremate their loved ones. Varanasi is a magical place, but definitely not for the faint-hearted. A walk along the ghats or a boat ride in the river will create some wonderful memories. Brace yourself for one of the most blindingly colourful and unrelentingly chaotic city, which is the beating heart of the Hindu universe.",October to March,Best Time:,38 Varanasi Attractions,https://www.holidify.com/places/varanasi/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/varanasi/hotels-where-to-stay.html,,March,3
8,https://www.holidify.com/places/munnar/,"9. Munnar, Kerala - Tea Gardens, Lakes and Pretty little hill-station",https://www.holidify.com/res/images/patt.png,4.5,/5,View 38+ photos,Known For :,Top Station,"Echo Point, Munnar",Atukkad Waterfalls,"At a height of 6000 feet, you can be assured about tranquillity and a safe distance away from the doldrums of city life in Munnar in Kerala. Situated at the confluence of Nallathanni, Kundaly and Madharupuzha rivers, the weather all around the year is just perfect to go for an exhilarating trek or a laid back elephant ride, or even boating. Tea and spice plantations dot the landscape and the tea museum here is an absolute must visit for all travellers to Munnar. The aromas of this tiny town will faintly remain in your mind for the months to come.",September to May,Best Time:,47 Munnar Attractions,https://www.holidify.com/places/munnar/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/munnar/packages.html,,March,3
9,https://www.holidify.com/pages/holi-festival-barsana-vrindavan-mathura-1673.html,"10. Vrindavan and Mathura, Uttar Pradesh - Lord Krishna's Childhood Abode for Holi",https://www.holidify.com/res/images/patt.png,4.2,/5,View 31+ photos,Known For :,Banke Bihari Mandir,Prem Mandir,Radha Raman Temple,"Vrindavan, an abode of one of the most loved Hindu deities, Krishna. The most popular celebrations that start about 40 days before the Indian festival of Holi, attracts quite the crowd from around the country and the world making it one of the best places to visit in March in India. In the temple cities of Vrindavan and Mathura, and especially in the ISKCON temples, the festival is celebrated not with colours, (as is the tradition) but with flower petals. The town is decorated beautifully and is lit up during the night, with every temple and house up in the celebrations.",October to March,Best Time:,18 Vrindavan Attractions,https://www.holidify.com/places/vrindavan/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/vrindavan/hotels-where-to-stay.html,,March,3
