,card href,card-heading,card-img-top src,rating-badge,light,num-photos,mb-3,clickable,clickable 2,clickable 3,card-text,mb-3 2,mb-3 3,collection-cta,collection-cta href,btn,btn href,Time,TimeInNumber
0,https://www.holidify.com/places/tirthan-valley/,"1. Tirthan Valley, Himachal Pradesh",https://www.holidify.com/images/bgImages/TIRTHAN-VALLEY.jpg,4.7,/5,View 7+ photos,Known For :,River Crossing,Serlosar Lake,Jalori Pass,"This place is a plethora of delights. A paradise for nature lovers, Tirthan Valley is located nearly 3 kms from the entrance of Great Himalayan National Park. Adventurous activities are in abundance, something you expect from Himachal now. Famous for trout fishing and surprisingly high influx of foreigners, it is one of the best places to visit in May in India.","Mar to June, October to November",Best Time:,8 Tirthan Valley Attractions,https://www.holidify.com/places/tirthan-valley/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/tirthan-valley/packages.html,May,5
1,https://www.holidify.com/places/tawang/,"2. Tawang, Arunachal Pradesh - Celebrate the colourful Moatsu Festival",https://www.holidify.com/images/cmsuploads/compressed/Tawang_Gate_20180827094640.jpg,4.7,/5,View 26+ photos,Known For :,Sela Pass,Tawang Monastery,Madhuri Lake,"Situated at a height of 10000 feet, Tawang's beauty reaches out to your soul. With Tibet to its northern side, Sela range of West Kameng to the east, and Bhutan to the southwest, Tawang is beautifully located. Moatsu, a festival celebrated during the month of May should not be missed if you are keen on getting to know a little bit more about the culture and traditions of Tawang. The festival is held for three days and celebrates the end of the sowing period for crops. It is one of the best places to visit in May in India due to the wide range of activities that open up. First week of May each year",September to March,Best Time:,9 Tawang Attractions,https://www.holidify.com/places/tawang/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/tawang/packages.html,May,5
2,https://www.holidify.com/places/manali/,"3. Manali, Himachal Pradesh - The infamous Rohtang Pass opens up in May!",https://www.holidify.com/res/images/patt.png,4.5,/5,View 11+ photos,Known For :,Solang Valley,Rohtang Pass,Old Manali,"Already visited by most of us, Manali one of the best places to visit May in India. Forever charming, this place never fails to make you go awestruck. The infamous Rohtang Pass also opens up during this time. The Beas Kund Trek, Hadimba Temple, Vashisht Baths, Hampta Pass Trek, Van Vihar, and the Museum of Himachal Culture and Folk Art are some places that you should not miss if you are planning a trip during the month of May.",October to June,Best Time:,49 Manali Attractions,https://www.holidify.com/places/manali/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/manali/packages.html,May,5
3,https://www.holidify.com/places/gangtok/,"4. Gangtok - Dzongu, Sikkim - Witness the most important Sikkim festival, The Saga Dawa festival",https://www.holidify.com/res/images/patt.png,4.4,/5,View 28+ photos,Known For :,Nathula Pass,"MG Road, Gangtok",Rumtek Monastery,"Gangtok, the capital of Sikkim, has a lot of places to visit in May in India that make you go wow. Nathula Pass, Baba Harbhajan Singh Mandir and Changu Lake are simply wonders. These places are a little away from and a lot higher than Gangtok, but each moment of this trip will be worth it. The Saga Dawa festival is one of the most important festivals for the people of Sikkim which celebrated in May. The festival is celebrated with much enthusiasm in the capital city of Gangtok. Festivity occurs across Gangtok in the form of processions, prayers, and extending alms to the needy. The customs and rituals, carried out in remembrance of the Buddha, are said to bear fruits for the observers in the future. 29th May, 2019",Throughout the year,Best Time:,33 Gangtok Attractions,https://www.holidify.com/places/gangtok/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/gangtok/packages.html,May,5
4,https://www.holidify.com/state/kerala/,"5. Munnar - Thekkady, Kerala",https://www.holidify.com/res/images/patt.png,,,,,,,,"Munnar, situated at a height of 6000 feet, comes under the Idukki district. Unending expanse of tea plantations, picturesque valleys and mountains and exotic species of flora and fauna offer the tourist a good overall experience. Thekkady, again in Idukki district, is a really beautiful hill station. It is one of the finest wildlife reserves in India with elephants being the highlight. The Periyar Wildlife Sanctuary is the prime attraction for which tourists throng the place.",,,,,,,May,5
5,https://www.holidify.com/places/ooty/,"6. Ooty, Tamil Nadu - Queen of the Nilgiris",https://www.holidify.com/res/images/patt.png,4.2,/5,View 30+ photos,Known For :,Nilgiri Mountain Railway,Ooty Lake,"Emerald Lake, Ooty","Ooty, the queen of hill stations and the capital of Nilgiris district, is one of the most popular tourist destination, especially as a honeymoon destination. Coffee and tea plantations, numerous gardens and the Ooty Lake are good places to visit in May in India. The marvellous views of the mountains are the best part of this trip.",Throughout the year,Best Time:,43 Ooty Attractions,https://www.holidify.com/places/ooty/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/ooty/hotels-where-to-stay.html,May,5
6,https://www.holidify.com/places/chittoor/horsley-hills-sightseeing-4413.html,"7. Horsley Hills, Andhra Pradesh",https://www.holidify.com/res/images/patt.png,,,,,,,,"One of the most scenic places in the state, the hills provide a good break from the town and its heat. With plenty of time and ways to be with nature, Horsley Hills are a paradise. The way to the hills is panoramic too, with Mahogany, Jacaranda, Sandalwood, Gulmohar and Eucalyptus trees lining the road. Just when you begin to feel life has slowed down too much since you've come here, brace yourself for the lesser known thing about this place - adventure sports, which includes zorbing, rappelling, rock climbing and trekking.",,,,,,,May,5
7,https://www.holidify.com/places/bir/,"8. Bir Billing, Himachal Pradesh - Paragliding in the land of Tibetan monasteries",https://www.holidify.com/res/images/patt.png,4.6,/5,View 11+ photos,Known For :,Paragliding in Bir Billing,Chokling Monastery,Gunehar Waterfall,"Bir is a small town located in the state of Himachal Pradesh in northern India. Bir Billing is a popular destination for adventures sports such as , treks and also as the .",Throughout the year,Best Time:,29 Bir Attractions,https://www.holidify.com/places/bir/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/bir/packages.html,May,5
8,https://www.holidify.com/state/meghalaya/,"9. Shillong - Cherrapunjee - Mawlynnong, Meghalaya",https://www.holidify.com/res/images/patt.png,,,,,,,,"The beautiful mountains of this region are a joy to watch. There are coal mines that can be spotted, legal and illegal, while you travel to Cherrapunjee from Shillong. Shillong in itself, is a really beautiful town, the capital of Meghalaya as well. It is perhaps the only place in India where taxi drivers themselves sit on someone's lap and drive. Here, even the traditional societal roles of a man and woman are reversed, with women doing most of the business. Scenic viewpoints, caves en route to Cherrapunjee, views of Bangladesh from both Cherrapunjee and Mawlynnong, Asia's cleanest village. These are just some of the things that will make your jaw drop.",,,,,,,May,5
9,https://www.holidify.com/places/kudremukh/,"10. Kudremukh, Karnataka - Close to the Nature's Face",https://www.holidify.com/res/images/patt.png,4.5,/5,View 33+ photos,Known For :,Kudremukh Trek,Kudremukh National Park,Hanuman Gundi Falls,"Kudremukh, in Karnataka, is a small town located in the Chikmagalur district in Karnataka. Kudremukh literally means 'horse-face' and refers to an impressive scenic sight of a side of the mountain that looks similar to the face of a horse. Natural grasslands and dense shoal forests characterize these hills.",October to May,Best Time:,10 Kudremukh Attractions,https://www.holidify.com/places/kudremukh/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/kudremukh/hotels-where-to-stay.html,May,5
