,card href,card-heading,card-img-top src,rating-badge,light,num-photos,mb-3,clickable,clickable 2,clickable 3,card-text,mb-3 2,mb-3 3,collection-cta,collection-cta href,btn,btn href,Time,TimeInNumber
0,https://www.holidify.com/places/ziro/,"1. Ziro, Arunachal Pradesh- Amazing October weather and landscape!",https://www.holidify.com/images/bgImages/ZIRO.jpg,4.5,/5,View 12+ photos,Known For :,Tarin Fish Farm - Paddy cultivation,Kile Pakho,Talley Valley Wildlife Sanctuary,"Perfect for an offbeat holiday, Ziro is a small town in eastern part of Arunachal Pradesh. Surrounded by hills on the sides with lush green paddy fields in the town, Ziro is mostly inhabited by the Apa Tani Tribes. If you missed the Ziro music festival in September, and want to see what is this beautiful hidden gem that everyone is talking about, October holidays are the right time to visit Ziro with monsoon season over and winters just starting to set in.",Throughout the year,Best Time:,8 Ziro Attractions,https://www.holidify.com/places/ziro/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/ziro/packages.html,October,10
1,https://www.holidify.com/places/andaman-nicobar-islands/,"2. Andaman &Nicobar Islands - Blue seas, virgin islands and colonial past",https://www.holidify.com/images/bgImages/ANDAMAN-NICOBAR-ISLANDS.jpg,4.5,/5,View 19+ photos,Known For :,Radhanagar Beach,Cellular Jail,Ross Island,"Replete with picturesque shimmering beaches, lagoons of turquoise blue waters and a bit of history, Andaman & Nicobar Islands is a little slice of paradise tucked around 1,400 km away from the east coast of India. The union territory comprises a total of 572 islands, only 37 of which are inhabited and a few are open to the tourists. Port Blair, the capital city of Andaman & Nicobar Islands, is the gateway to the archipelago and is connected with various islands via multiple daily ferries. Havelock and Neil Island are some of the most famous islands among tourists and is known for pearly white sands, palm-lined shores and offer some of the best snorkelling and diving options in India.",October to Jun,Best Time:,82 Andaman Attractions,https://www.holidify.com/places/andaman-nicobar-islands/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/andaman-nicobar-islands/packages.html,October,10
2,https://www.holidify.com/places/kutch/,"3. Kutch, Gujarat - Spend an October night in huts amidst the white sand deserts",https://www.holidify.com/res/images/patt.png,4.4,/5,View 30+ photos,Known For :,Rann of Kutch,Kutch Desert Wildlife Sanctuary,Dholavira,"One of the most surreal places in India, with a white salt desert and beautiful moonlight nights, Kutch lies in the westernmost of India, and it shares a boundary with Pakistan. With deserts, oasis, beaches, heritage palaces, delicious food, religious temples, wildlife sanctuaries, etc. all in the same district, Bhuj including Kutch is one of the few destinations in India that offers almost everything. Kachch looks even more surreal on full-moon nights with light falling on the white salt desert. The beauty of the place and pleasant weather makes it one of the best places to visit in India in October.",July to March,Best Time:,17 Kutch Attractions,https://www.holidify.com/places/kutch/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/kutch/hotels-where-to-stay.html,October,10
3,https://www.holidify.com/places/hampi/,"4. Hampi, Karnataka - Capture the marvel of the ruins this October!",https://www.holidify.com/res/images/patt.png,4.5,/5,View 103+ photos,Known For :,"Virupaksha Temple, Hampi",Vithala Temple,Lotus Palace,"One of the 32 UNESCO World Heritage Sites in India, Hampi was the capital of the Vijayanagar Empire in the 13th century with magnificent temples and architectural wonders. The city is in ruins now, but it serves as one of the most interesting places in India to hangout with good weather and ambience to spend some time away from the cities. If you’re looking for a quick getaway from Bengaluru for a weekend in October, Hampi is only an overnight train ride away.",October to March,Best Time:,31 Hampi Attractions,https://www.holidify.com/places/hampi/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/hampi/hotels-where-to-stay.html,October,10
4,https://www.holidify.com/places/darjeeling/,"5. Darjeeling, West Bengal - October’s queen of the hills",https://www.holidify.com/res/images/patt.png,4.3,/5,View 50+ photos,Known For :,Darjeeling Himalayan Railway,Tiger Hill,Batasia Loop,"Referred to as the “queen of the hills”, Darjeeling is a delight. With so much to see and do here, one must take a long holiday in October to enjoy its beauty as the monsoon recedes in September, Darjeeling blossoms in the fall making it one of the best places to visit in India in October. With monasteries, national parks, valleys, soaring mountains, rock garden, toy train, Observatory, colonial architecture, this places has it all, and it looks especially lovely in the fall. Head out this October!","February to March, September to December",Best Time:,23 Darjeeling Attractions,https://www.holidify.com/places/darjeeling/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/darjeeling/packages.html,October,10
5,https://www.holidify.com/places/spiti/,"6. Spiti Valley, Himachal Pradesh - Trekking mecca and a virgin paradise",https://www.holidify.com/res/images/patt.png,4.7,/5,View 54+ photos,Known For :,Chandratal Lake,Key Monastery,Kunzum Pass,"Long winding roads and valleys that present unforgettable glimpses of cold desert and snow-crowned mountains welcome you when you set foot into Spiti Valley. Bordered on all sides by the Himalayas, Spiti Valley, located in Himachal Pradesh, has an altitude of 12,500 feet above sea level, and gets just around 250 days of sunshine in the year, making it one of the coldest places in the country. With the thick Himalayan snow cutting Spiti off from the rest of the country for around 6 months a year, the summer months are the only time Spiti is directly accessible via motorway.",Mid May to Mid Oct,Best Time:,31 Spiti Attractions,https://www.holidify.com/places/spiti/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/spiti/packages.html,October,10
6,https://www.holidify.com/places/rishikesh/,"7. Rishikesh, Uttarakhand - Enjoy the adrenaline rush this October",https://www.holidify.com/res/images/patt.png,4.3,/5,View 37+ photos,Known For :,Rafting in Rishikesh,Lakshman Jhula,Triveni Ghat,"One of the most amazing adventure hubs in India, Rishikesh along with its twin city Haridwar is also of prime religious importance. If you are planning to go for bungee jumping or river rafting, holidays in October are an ideal time to visit Rishikesh before the weather gets too chilly.",Throughout the year,Best Time:,53 Rishikesh Attractions,https://www.holidify.com/places/rishikesh/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/rishikesh/packages.html,October,10
7,https://www.holidify.com/places/pachmarhi/,"8. Pachmarhi, Madhya Pradesh - Witness the beautiful October sunrise!",https://www.holidify.com/res/images/patt.png,4.4,/5,View 16+ photos,Known For :,Bee falls,Jata Shankar caves,Pandava Caves,"The only hill station in Madhya Pradesh, Pachmarhi is often known as the queen of the Satpura ranges. With the weather becoming just about right for the enchanting views, Pachmarhi is one of the best places to visit in India in October.",Throughout the year,Best Time:,18 Pachmarhi Attractions,https://www.holidify.com/places/pachmarhi/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/pachmarhi/hotels-where-to-stay.html,October,10
8,https://www.holidify.com/places/wayanad/,"9. Wayanad, Kerala - Get personal with nature this October",https://www.holidify.com/res/images/patt.png,4.3,/5,View 71+ photos,Known For :,Banasura Sagar Dam,Wayanad Wildlife Sanctuary,Chembra Peak,"A quick escape from the city life of Bengaluru at around 250 kms distance, Wayanad is great for a peaceful weekend getaway, especially in October. Wayanad is located in Northern Kerala, and it borders Karnataka to its west. A trip to Wayanad is incomplete without a trek to the Chembra peak and Wayanad National park. The weather becomes just fine in October in Wayanad for an enjoyable holiday experience.",Throughout the year,Best Time:,34 Wayanad Attractions,https://www.holidify.com/places/wayanad/sightseeing-and-things-to-do.html,View Hotels,https://www.holidify.com/places/wayanad/hotels-where-to-stay.html,October,10
9,https://www.holidify.com/places/goa/,"10. Goa - Beaches, Sunsets and Crazy Nights",https://www.holidify.com/res/images/patt.png,4.5,/5,View 114+ photos,Known For :,Calangute Beach,Fort Aguada,Cruise in Goa,"Lying on the west coast, Goa is one of the smallest states in India known for its brilliant beaches, scrumptious food and Portuguese heritage. Panjim, the capital city located in the centre is well-connected with an international airport and roads and trains run from North to South part of Goa. It is one of the best places to visit in India in October due to great weather conditions and to witness the start of the peak season in the state.",October to March,Best Time:,197 Goa Attractions,https://www.holidify.com/places/goa/sightseeing-and-things-to-do.html,View Packages,https://www.holidify.com/places/goa/packages.html,October,10
